id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
15420,Georgian Boutique Apt City Centre,60423,Charlotte,,"Old Town, Princes Street and Leith Street",55.95759,-3.18805,Entire home/apt,114,3,450,2022-11-29,3.10,1,187,73,
24288,"Cool central Loft, sleeps 4, 2 double bed+en-suite",46498,Gordon,,"Canongate, Southside and Dumbiedykes",55.94383,-3.18445,Entire home/apt,68,3,244,2022-11-21,1.64,1,52,16,
38628,Edinburgh Holiday Let,165635,Trish,,Joppa,55.94215,-3.0964,Entire home/apt,55,4,71,2022-10-29,0.69,2,83,14,
44009,A Warm Welcoming Home In the Charming Old Town :),192586,Puneet,,Marchmont West,55.938,-3.19468,Private room,45,2,58,2022-12-04,0.39,1,38,20,
391558,"City centre, lovely reviews, near tram & train.",1958301,Joanne,,"Old Town, Princes Street and Leith Street",55.9577,-3.18784,Entire home/apt,110,3,63,2022-11-28,0.50,1,174,21,
391610,"Quiet, elegant double with private shower & wc",1958560,Harriet,,Shandon,55.93106,-3.23188,Private room,48,3,502,2022-12-01,3.84,1,3,63,
404888,"Quirky, arty apartment in Abbeyhill",1699475,Fiona,,Abbeyhill,55.95426,-3.16724,Entire home/apt,100,3,25,2022-08-30,0.20,1,5,5,
405790,Writers View - Royal Mile near Castle,1947266,John,,"Old Town, Princes Street and Leith Street",55.95006,-3.19234,Entire home/apt,129,3,108,2022-10-23,0.90,1,65,6,
408831,Sunny Room in house with beautiful views,2035652,Liz,,Comiston and Swanston,55.90072,-3.22044,Private room,52,3,85,2022-09-09,0.68,2,38,9,
707097,Centre Royal Mile Apartment 3 bedrooms 2 bathrooms,3092851,Lynne,,"Old Town, Princes Street and Leith Street",55.9498,-3.18354,Entire home/apt,598,2,67,2022-09-22,0.55,8,210,7,
728199,"Private room in central, spacious and comfy flat",3776412,Tom,,Polwarth,55.93692,-3.22414,Private room,60,1,354,2022-12-04,2.86,1,195,52,
732008,51 18 Caledonian Crescent,3810279,Frederika And Agnes,,Dalry and Fountainbridge,55.94192,-3.21878,Entire home/apt,162,2,268,2022-12-04,2.27,2,159,51,
744710,Refurbished Flat in a Georgian Era Building in New Town,3737047,Gareth,,Deans Village,55.95324,-3.20368,Entire home/apt,138,2,210,2022-09-20,1.73,1,84,7,
748646,Great 3db Georgian apt in city cent,3930311,Adrian,,New Town East and Gayfield,55.95747,-3.18962,Entire home/apt,99,2,49,2022-10-31,0.48,1,0,13,
749042,Bright single room near Holyrood Park free parking,3935818,Relo,,Northfield and Piershill,55.95535,-3.14812,Private room,26,2,74,2022-09-23,0.63,1,0,7,
754100,Historic City Centre/Royal Mile. Free parking,3967512,Keith,,"Canongate, Southside and Dumbiedykes",55.95102,-3.1803,Entire home/apt,135,3,354,2022-12-08,3.05,4,268,73,
764949,R1) Twin Room- Shared Facilities,4032602,Kim,,Newington and Dalkeith Road,55.93301,-3.172,Private room,75,1,1,2019-12-08,0.03,7,0,0,
767532,"Jeffrey St (Flat 14), Royal Mile, Old Town",4048288,Martin,,"Old Town, Princes Street and Leith Street",55.95087,-3.18424,Entire home/apt,84,3,78,2020-08-24,0.66,15,0,0,
769648,"Rosslyn: Spacious, quiet, central",4048288,Martin,,Broughton South,55.96569,-3.18386,Entire home/apt,84,3,53,2020-10-05,0.45,15,0,0,
773926,The Corstorphine Residence No. 1,646220,Reserve,,Balgreen and Roseburn,55.9398,-3.26717,Entire home/apt,171,1,27,2022-11-28,0.30,48,61,16,
419487,Booklover's Bed With a View,2084557,Rachel,,"Old Town, Princes Street and Leith Street",55.95044,-3.19512,Entire home/apt,84,4,162,2022-12-12,1.56,1,86,31,
426766,Bright  Clean  Double Room  Ensuite,1961072,Javed,,Prestonfield,55.92897,-3.1552,Private room,85,1,125,2022-12-04,0.96,2,361,34,
426770,Bright & Clean Single Room /Central,1961072,Javed,,Prestonfield,55.92925,-3.15734,Private room,65,1,99,2022-12-11,0.77,2,361,36,
428822,Exclusive en-suite family room near City & airport,2131536,Carmela,,"Barnton, Cammo and Cramond South",55.96202,-3.3119,Private room,100,3,237,2020-01-02,3.05,1,0,0,
442465,One of the rooms in Zeb's flat,851172,Zeb David,,Easter Road and Hawkhill Avenue,55.96074,-3.17009,Private room,64,2,7,2022-09-10,0.06,8,20,1,
447206,Comfy Room behind Holyrood Palace,2220775,Eva,,Abbeyhill,55.95561,-3.16749,Private room,45,3,745,2022-12-07,5.76,4,159,64,
449083,Single Bedroom in Edinburgh,565761,Noël,,Abbeyhill,55.957,-3.16707,Private room,46,1,72,2022-12-11,1.36,1,1,6,
450745,Two bedroomed flat walking distance Royal Mile,2238338,Jen,,"Canongate, Southside and Dumbiedykes",55.943081,-3.178438,Entire home/apt,169,2,179,2022-11-27,2.59,1,196,39,
458510,Central Edinburgh 1 Bedroom Flat,2280137,Gill,,Deans Village,55.95296,-3.20537,Entire home/apt,104,4,252,2022-11-23,1.96,10,267,37,
480324,"Water of Leith View, Edinburgh",2378566,Heather,,North Leith and Newhaven,55.97637,-3.17675,Entire home/apt,137,3,72,2022-10-30,0.73,2,279,10,
481841,Castle View in stylish Stockbridge,1940604,James,,Stockbridge,55.95943,-3.21418,Entire home/apt,202,2,48,2022-12-04,0.42,1,150,18,
